building_id,mean_temp,std_temp,pct_above_18,pct_below_15
7310,2.9351226725634705,5.381580281489225,4.2948647156267254,93.40033130866925
732,4.786715782693768,6.30081434386029,6.935750506157476,89.04099411185615
7329,4.443022249704874,6.316717209071922,6.918650569784497,89.37831434051675
7332,2.519934080576653,4.836356687301502,3.121151161835947,94.91337548238772
7334,3.4301616354999234,5.719720282642042,4.935490477165677,92.11550276469383
7336,2.417640793869858,4.824671020351958,2.8444939075784976,95.02459063346453
7338,2.8416334349717487,5.254785026637215,3.6645033574409216,93.78001732147075
7343,5.0357413896892425,6.294018513082453,6.637682934296736,88.7657420447819
7344,4.598920376090396,5.955177046279935,6.39531111447542,90.24590695763133
7348,5.11929603831813,6.305827405264926,7.472205840595854,88.46078238647533
7350,4.811932151345774,6.08211792935155,6.689279120690396,89.66768279592976
7358,5.089051983652849,6.310460230125372,7.524034310056991,88.54604417323893
736,5.745696304943631,6.288496947267461,8.329391849841926,87.46608249732394
7360,2.7922178794094688,5.17949076976226,3.8740112455922993,94.02458782045173
7362,2.6287761477900133,4.965258153986398,3.3542140472675523,94.61091383048053
7365,3.522325236583534,5.658050645195515,4.4779780418167014,92.27735206679684
739,5.538379431035156,6.086966595472003,7.521139296840232,88.68901225025179
7399,3.378250663416971,5.740567549340188,5.064551918906652,92.11004084926118
740,6.976575862276882,6.754059177370545,10.947805251587086,83.58817281327966
7410,7.623347386461847,7.143668675756495,12.902398358342953,79.90252661279979
7411,7.478206764260834,7.008980234774307,12.179976032247522,80.90205904782655
7412,7.067279443707575,6.872577343326814,11.159684600118007,82.50281607037493
7413,7.512388384011027,7.105748110110244,12.591428865766972,80.37498712269496
7421,3.38053681983639,5.4867679080000835,4.651843555510303,92.83323363581984
7427,2.565541002682476,5.011618075492657,3.581022507143851,94.47649218189797
7430,3.812681241264343,5.85845111482393,5.792872221532348,91.20410613022062
7444,3.838223171589779,5.848182382746959,6.07975453540891,91.2681979594683
7457,5.783432443116926,6.65489312532154,8.970719602977667,86.18957816377171
7458,3.4984139738104103,5.80675783861086,5.403781896454628,91.86554369454491
7459,2.490120481841434,4.575038540607749,2.8966391227321515,95.53865849400628
7464,3.440589899427769,5.327425506632383,4.275171614185546,93.10046561275006
7470,5.050031284573003,6.288411846984403,7.248277021348127,88.55942175155488
7473,3.9629395583262506,5.90760351943753,5.797282134397207,91.18677108952636
7474,3.5294598291306194,5.612955994156727,5.0569681977117575,92.36697509573987
7481,1.9119900495785336,4.28297687962083,2.071598060455999,96.30351800268235
7484,2.1573816759956994,4.60375368197638,2.497980846890504,95.5838236990885
7485,3.4310087282583224,5.671681260698294,4.296222972710686,92.41392026707038
7498,3.817443366555195,5.916370683626363,5.660299912434326,91.2365915061296
7499,3.8210622167882637,5.920249437675966,5.609355765285186,91.26658459855012
75,2.9618707614607467,5.264446336696526,4.074505238649592,93.73886699300111
7501,3.523008797290859,5.7606499415279,5.242617599050304,91.93055349458376
7512,3.2774956933587847,5.5127808961495575,4.654971817144665,92.8757808175852
7515,3.2550973286634894,5.509244119587077,4.632648930667687,92.88798434794342
7517,3.3339524824931166,5.534004746614935,4.723225372811265,92.86617528110368
7520,3.3029766109216454,5.556408672308327,4.7400438725434775,92.68753250865012
7523,3.5488881495621953,5.817474449172004,5.212179125222603,91.84293966902662
7525,4.456173404678559,5.956908604707273,6.171963677639047,90.51605318631425
7528,10.506674113456501,7.518842652981988,23.057273997206146,67.15625623628019
7549,3.310487450838691,5.351527997150315,4.314930136380479,93.30528429532768
7550,3.2001203256815813,5.344525152942479,4.296615792966159,93.3464345873105
7552,3.41511620017528,5.581050023327608,4.8153593847197875,92.55358253689985
7553,3.505516715202026,5.554313379694779,4.81469522476949,92.60335569667181
7554,3.290815100524067,5.436587274640912,4.526192178086388,93.04605330337996
7555,3.506116557125918,5.662241528859709,5.045022476444964,92.25780412787218
7561,3.8714844549794702,5.764863856462905,5.469493926655364,91.61808765125299
7562,4.275670229034511,6.1744090339638795,6.609588462772514,89.93532262694835
7564,4.475065538810414,6.319713275317073,7.030846401253187,89.26291932607863
7587,4.930861932544672,5.900149538590716,5.894459102902375,90.21635883905013
7589,6.441147489277586,6.801470027508764,9.79855856575296,84.23605981353191
7592,5.4324228334231925,5.9069647669980725,6.4188207958176005,89.43750605092458
7599,6.122041393730399,6.628407454778222,8.81542699724518,85.62340210476248
76,2.890415875188229,5.215224831408911,3.9294864654116073,93.86348446028741
7602,6.699979246566365,6.684936363707393,9.552812950793395,84.40134636961052
7603,6.087735668308228,6.592095500335435,8.596315303092865,85.84714603118425
7604,5.810296712760922,6.3794626801994125,7.7346518005484715,87.12692915907681
7607,6.411060438888232,6.5002276677833075,8.724681411100054,85.71245144929863
7608,6.166544149935025,6.667525282148589,9.020272935237044,85.42833477952196
7609,5.996233176020097,6.524037539566182,8.412595262007445,86.30787105413442
7612,6.625441279745045,6.719419141895055,9.792523124357656,84.21120246659814
7618,4.693714185929511,6.346628009591088,7.339057153719428,88.93201115194526
7619,4.881083298833667,6.536095226047869,7.830350051927423,88.13916549575417
7624,3.8581986527995675,5.668619899264968,5.017416438153116,91.83724894389684
7625,4.733432734993856,6.473260064325227,7.656081609755377,88.24719134298832
7628,3.4943243885078292,5.61700863220914,4.787282179163608,92.44250937647685
7633,7.290179929013071,6.984358732934502,12.229652220139336,81.75484737416413
7636,3.65516255185267,5.561049020062049,4.768313785810421,92.54813634740572
7637,4.619226137523893,6.425529617226052,7.398078564153384,88.7907066369367
7644,6.2894291061584,6.830244612807353,10.198560436832961,84.69595433109953
7660,5.862244187292454,6.514522413424459,8.69172314643664,86.39761758061204
7661,6.844891716888268,7.03683896874298,11.609127429189012,82.52003507412468
7672,5.390835109650619,6.527475456390632,8.32226549310042,87.35114692839295
7681,6.097843141841696,6.6959751556632465,9.54296875,85.3359375
7684,5.0615682577542165,6.329631775626554,7.501939487975175,88.58029480217222
7693,5.947768873321148,6.452755099909498,8.684902214104333,86.6173653494899
7696,4.296519397299708,5.643386679479648,5.4303745310229665,91.65708833033332
770,4.2746595531106575,6.127677546849785,6.480355414360527,90.0883572013601
7707,5.8950521592044804,6.8571571850633015,9.830071797980564,85.25962831757819
7713,2.561721624362914,4.828757297666835,3.195432977461447,94.95570136417555
7714,2.6005114200335733,4.9932430645532815,3.586187325967047,94.54711526523953
